,bitscore,annotation
MK605244.1|no_gene_name|tblastn_CasPedia,306.6,cas12f
NC_048757.1|no_gene_name|,243.1,cas12f
NC_048756.1|no_gene_name|,280.5,cas12f
MK605243.1|no_gene_name|tblastn_CasPedia,306.6,cas12f
no_accession_number1|Cas12u|tblastn_CasPedia,118.0,cas12f
no_accession_number2|Cas12u|tblastn_CasPedia,26.1,cas12f
no_accession_number3|Cas12u|tblastn_CasPedia,118.0,cas12f
no_accession_number4|Cas12u|tblastn_CasPedia,26.1,cas12f
MK605246.1|no_gene_name|tblastn_CasPedia,168.5,cas12f
CP051207.1|no_gene_name|tblastn_CasPedia,229.8,cas12f
CP060822.1|no_gene_name|tblastn_CasPedia,85.5,cas12f
CP003285.1|no_gene_name|tblastn_CasPedia,347.5,cas12f
CP001812.1|no_gene_name|tblastn_CasPedia,1403.1,cas12a
CP108357.1|no_gene_name|tblastn_CasPedia,435.8,cas12f
CP107844.1|no_gene_name|tblastn_CasPedia,72.3,cas12f
CP189853.1|no_gene_name|tblastn_CasPedia,256.1,cas12f
CP182899.1|no_gene_name|tblastn_CasPedia,848.0,cas12j
CP024912.1|no_gene_name|tblastn_CasPedia,860.8,cas12j
CP102281.1|no_gene_name|tblastn_CasPedia,527.9,cas12u
MK005757.1|no_gene_name|tblastn_CasPedia,402.6,cas12f
CP127374.1|no_gene_name|tblastn_CasPedia,470.4,cas12f
CP117768.1|no_gene_name|tblastn_CasPedia,940.6,cas12j
CP045226.1|no_gene_name|tblastn_CasPedia,953.7,cas12j
FQ859183.1|no_gene_name|tblastn_CasPedia,1891.4,cas12a
CP003630.1|no_gene_name|tblastn_CasPedia,1053.7,cas12j
CP026604.1|no_gene_name|tblastn_CasPedia,1129.3,cas12a
CP163263.1|no_gene_name|tblastn_CasPedia,1392.8,cas12b
CP172407.1|no_gene_name|tblastn_CasPedia,1390.9,cas12b
CP150143.1|no_gene_name|tblastn_CasPedia,1391.9,cas12b
CP155466.1|no_gene_name|tblastn_CasPedia,1391.9,cas12b
CP163265.1|no_gene_name|tblastn_CasPedia,74.0,cas12b
CP018047.1|no_gene_name|tblastn_CasPedia,732.3,cas12f
CP109495.1|no_gene_name|tblastn_CasPedia,739.8,cas12f
CP026363.1|no_gene_name|tblastn_CasPedia,1430.2,cas12b
CP048274.1|no_gene_name|tblastn_CasPedia,1430.2,cas12b
CP194760.1|no_gene_name|tblastn_CasPedia,1428.8,cas12b
CP085874.1|no_gene_name|tblastn_CasPedia,1362.5,cas12b
CP158900.1|no_gene_name|tblastn_CasPedia,1359.9,cas12b
CP118544.1|no_gene_name|tblastn_CasPedia,1359.5,cas12b
CP139111.1|no_gene_name|tblastn_CasPedia,1359.4,cas12b
CP064090.1|no_gene_name|tblastn_CasPedia,1358.1,cas12b
CP154342.1|no_gene_name|tblastn_CasPedia,1322.0,cas12b
CP064879.1|no_gene_name|tblastn_CasPedia,827.6,cas12j
CP019791.1|no_gene_name|tblastn_CasPedia,1524.8,cas12b
CP103866.1|no_gene_name|tblastn_CasPedia,1330.1,cas12b
OY970166.1|no_gene_name|tblastn_CasPedia,424.3,cas12f
AP018316.1|no_gene_name|tblastn_CasPedia,426.2,cas12f
CP170746.1|no_gene_name|tblastn_CasPedia,420.1,cas12f
CP040288.1|no_gene_name|tblastn_CasPedia,416.5,cas12f
AP023441.1|no_gene_name|tblastn_CasPedia,717.5,cas12k
CP182909.1|no_gene_name|tblastn_CasPedia,415.4,cas12f
CP030118.1|no_gene_name|tblastn_CasPedia,423.6,cas12f
AP025732.1|no_gene_name|tblastn_CasPedia,425.9,cas12f
CP063785.1|no_gene_name|tblastn_CasPedia,827.6,cas12j
DQ257629.1|no_gene_name|tblastn_CasPedia,413.2,cas12f
CP023278.1|no_gene_name|tblastn_CasPedia,1147.4,cas12k
DQ257628.1|no_gene_name|tblastn_CasPedia,409.6,cas12f
CP003552.1|no_gene_name|tblastn_CasPedia,416.2,cas12f
CP007203.2|no_gene_name|tblastn_CasPedia,412.2,cas12f
CP020114.1|no_gene_name|tblastn_CasPedia,412.2,cas12f
CP091913.1|no_gene_name|tblastn_CasPedia,1195.2,cas12k
CP119968.1|no_gene_name|tblastn_CasPedia,422.9,cas12f
FO818640.1|no_gene_name|tblastn_CasPedia,130.6,cas12f
CP046973.1|no_gene_name|tblastn_CasPedia,12.1,cas12f
OZ240666.1|no_gene_name|tblastn_CasPedia,-1.0,unknown
CP041751.1|no_gene_name|tblastn_CasPedia,584.7,cas12f
CP070340.1|no_gene_name|tblastn_CasPedia,593.3,cas12f
CP170575.1|no_gene_name|tblastn_CasPedia,587.9,cas12f
CP017574.1|no_gene_name|tblastn_CasPedia,551.9,cas12f
AP017295.1|no_gene_name|tblastn_CasPedia,1169.4,cas12k
CP012036.1|no_gene_name|tblastn_CasPedia,1162.8,cas12k
AP018288.1|no_gene_name|tblastn_CasPedia,1203.8,cas12k
AP018318.1|no_gene_name|tblastn_CasPedia,1182.0,cas12k
CP003548.1|no_gene_name|tblastn_CasPedia,1178.8,cas12k
CP040281.1|no_gene_name|tblastn_CasPedia,1196.0,cas12k
CP178454.1|no_gene_name|tblastn_CasPedia,1277.1,cas12k
CP003610.1|no_gene_name|tblastn_CasPedia,984.5,cas12k
CP024785.1|no_gene_name|tblastn_CasPedia,116.6,cas12u
CP147844.1|no_gene_name|tblastn_CasPedia,589.4,cas12n
