,bitscore,annotation,cassette_id
CP013328|Cas12f|NCBI,898.6,cas8b,1
CP050882|Cas12f|NCBI,423.2,cas12f,1
CP098719|Cas12b|NCBI,266.8,cas12n,1
CP009503|Cas12f|NCBI,478.8,cas3,1
CP086501|Cas12a|NCBI,284.2,cas12n,1
CP101915|Cas12b|NCBI,541.1,cas3,1
CP080126|Cas12b|NCBI,866.1,cas3,1
CP000239|Cas12f|NCBI,592.9,cas5,1
CP051500|Cas12f|NCBI,213.0,cas12f,1
CP122655|Cas12b|NCBI,610.1,cas8,1
CP000970|Cas12b|NCBI,605.0,cas8,1
CP074264|Cas12b|NCBI,593.4,cas8,1
CP136751|Cas12f|NCBI,705.2,cas12c,1
BK039564|Cas12f|NCBI,231.0,cas12f,1
CP030121|Cas12f|NCBI,1017.3,cas12k,1
CP093226|Cas12b|NCBI,541.1,cas3,1
CP133829|Cas12a|NCBI,658.2,cas8b,1
OY282383|Cas12f|NCBI,439.3,cas10,1
CP003362|Cas12f|NCBI,373.6,cas10,1
CP027303|Cas12f|NCBI,213.5,cas12u,1
CP043943|Cas12a|NCBI,284.2,cas12n,1
CP086336|Cas12b|NCBI,541.1,cas3,1
CP015435|Cas12a|NCBI,451.9,cas1,1
CP138416|Cas12b|NCBI,534.8,cas3,1
CP011107|Cas12f|NCBI,776.5,cas10,1
BK022099|Cas12f|NCBI,244.2,cas12n,1
CP091840|Cas12f|NCBI,287.1,cas12n,1
LS483296|Cas12b|NCBI,610.6,cas8,1
CP004077|Cas12f|NCBI,776.5,cas10,1
CP019418|Cas12b|NCBI,600.2,cas3,1
CP009504|Cas12f|NCBI,551.5,cas8c,1
CP059364|Cas12f|NCBI,1041.0,cas9,1
AP014508|Cas12f|NCBI,460.2,cas8b,1
CP128458|Cas12a|NCBI,622.4,cas9,1
AP018233|Cas12f|NCBI,1205.8,cas10d,1
LN831027|Cas12a|NCBI,896.6,cas8b,1
CP076329|Cas12f|NCBI,441.1,cas3,1
CP083387|Cas12a|NCBI,213.0,cas12f,1
CP001173|Cas12f|NCBI,209.7,cas12n,1
OY762648|Cas12f|NCBI,336.3,cas1,1
CP037903|Cas12b|NCBI,286.9,cas12f,1
CP026932|Cas12b|NCBI,541.1,cas3,1
CP002348|Cas12f|NCBI,211.6,cas12f,1
AP013356|Cas12f|NCBI,212.0,cas12f,1
AP028097|Cas12a|NCBI,291.3,cas12f,1
CP041422|Cas12b|NCBI,610.6,cas8,1
CP060885|Cas12b|NCBI,381.4,cas1,1
BA000043|Cas12f|NCBI,249.1,cas12f,1
CP045914|Cas12b|NCBI,569.0,cas8,1
CP073339|Cas12a|NCBI,296.9,cas1,1
AP028838|Cas12a|NCBI,284.2,cas12n,1
AP023046|Cas12f|NCBI,213.5,cas12n,1
CP124979|Cas12b|NCBI,609.1,cas8,1
CP013334|Cas12f|NCBI,792.4,cas8b,1
CP084635|Cas12b|NCBI,266.8,cas12n,1
CP084521|Cas12a|NCBI,292.3,cas12f,1
CP032912|Cas12f|NCBI,210.0,cas12n,1
CP110483|Cas12a|NCBI,542.2,cas8c,1
CP061475|Cas12a|NCBI,195.7,cas12u,1
CP072377|Cas12f|NCBI,427.2,cas10,1
AP027162|Cas12f|NCBI,609.4,cas8,1
AC000108|NotFound|NCBI,213.2,cas12f,1
CP002059|Cas12a|NCBI,398.7,cas5,1
CP135502|Cas12b|NCBI,609.1,cas8,1
CP032910|Cas12f|NCBI,217.3,cas12n,1
CP137641|Cas12a|NCBI,631.5,cas10d,1
CP012597|Cas12b|NCBI,371.5,cas1,1
LR134519|Cas12f|NCBI,212.3,cas12f,1
OX639992|Cas12f|NCBI,236.6,csx3,1
MF547663|Cas12f|NCBI,115.5,cas12f,1
CP099805|Cas12b|NCBI,266.8,cas12n,1
CP002770|Cas12a|NCBI,577.2,cas8b,1
CP022524|Cas12f|NCBI,662.8,cas8b,1
AP023230|Cas12b|NCBI,541.7,cas3,1
CP051372|Cas12b|NCBI,593.4,cas8,1
CP058594|Cas12a|NCBI,980.4,cas8b,1
CP086340|Cas12b|NCBI,541.1,cas3,1
CP001393|Cas12f|NCBI,603.7,cas8b,1
CP026326|Cas12f|NCBI,212.0,cas12f,1
CP019858|Cas12a|NCBI,663.7,cas8b,1
CP075889|Cas12a|NCBI,205.3,cas12f,1
BK035606|Cas12f|NCBI,233.0,cas12f,1
OY762258|Cas12f|NCBI,333.1,cas1,1
CP040094|Cas12a|NCBI,1033.3,cas12j,1
CP074592|Cas12b|NCBI,287.9,cas12f,1
CP002472|Cas12a|NCBI,511.4,cas8b,1
CP120849|Cas12a|NCBI,527.4,cas7,1
KF705205|Cas12a|NCBI,284.2,cas12n,1
CP076376|Cas12f|NCBI,656.6,cas8b,1
CP054698|Cas12f|NCBI,1001.8,cas12j,1
CP017019|Cas12a|NCBI,472.2,cas1,1
AP028644|Cas12a|NCBI,896.6,cas8b,1
AP028827|Cas12a|NCBI,610.2,cas8,1
CP017603|Cas12f|NCBI,637.9,cas8b,1
CU928162|Cas12b|NCBI,1213.2,cas3,1
CP003597|Cas12a|NCBI,1302.5,cas8b,1
CP126071|Cas12f|NCBI,662.8,cas8b,1
CP022530|Cas12a|NCBI,138.2,DinG,1
AP023039|Cas12f|NCBI,206.5,cas12n,1
CP018109|Cas12b|NCBI,590.2,cas3,1
CP098695|Cas12b|NCBI,266.8,cas12n,1
CP064295|Cas12a|NCBI,213.2,cas12f,1
CP126676|Cas12a|NCBI,239.0,cas12f,1
CP092025|Cas12f|NCBI,1054.2,cas9,1
CP007452|Cas12f|NCBI,228.5,cas12n,1
CP002101|Cas12f|NCBI,373.8,cas8e,1
CP021683|Cas12b|NCBI,541.1,cas3,1
CP008903|Cas12f|NCBI,617.5,cas9,1
AP027775|Cas12b|NCBI,281.9,cas12f,1
CP003549|Cas12f|NCBI,1117.4,cas10d,1
CP044175|Cas12f|NCBI,1033.0,cas9,1
CP029566|Cas12f|NCBI,657.1,cas8b,1
CP054306|Cas12f|NCBI,816.6,cas12j,1
CP003945|Cas12f|NCBI,1034.4,cas12j,1
CP011970|Cas12f|NCBI,115.5,cas12f,1
CP125003|Cas12b|NCBI,541.7,cas3,1
CP136572|Cas12f|NCBI,349.9,cas12f,1
CP061471|Cas12f|NCBI,266.4,cas10,1
AP023036|Cas12f|NCBI,214.0,cas12n,1
CP009512|Cas12f|NCBI,1081.3,cas10,1
CP085372|Cas12b|NCBI,541.1,cas3,1
AE010299|Cas12f|NCBI,578.4,cas10,1
CP019870|Cas12f|NCBI,662.8,cas8b,1
CP051167|Cas12f|NCBI,1321.4,cas10d,1
AP028639|Cas12a|NCBI,896.6,cas8b,1
AP028102|Cas12a|NCBI,292.3,cas12f,1
CP000812|Cas12f|NCBI,1316.1,cas10,1
CP003906|Cas12f|NCBI,212.0,cas12f,1
AP028643|Cas12f|NCBI,731.0,cas8b,1
CP083761|Cas12f|NCBI,934.8,cas10d,1
