,bitscore,annotation
CP030369|Cas12a|NCBI,240.7,cas12f
CP117271|Cas12f|NCBI,1072.6,cas10
CP072374|Cas12a|NCBI,241.4,cas12f
LT838272|Cas12a|NCBI,602.3,cas8b
AP013354|Cas12f|NCBI,212.0,cas12f
OY762257|Cas12f|NCBI,394.3,cas8b
BK030888|Cas12f|NCBI,238.5,cas12f
CP091409|Cas12b|NCBI,282.3,cas12f
CP117964|Cas12f|NCBI,234.2,cas12n
CP003408|Cas12f|NCBI,776.5,cas10
OY729511|Cas12f|NCBI,835.7,cas3
KX119174|Cas12f|NCBI,212.0,cas12f
OR797031|Cas12a|NCBI,284.2,cas12n
CP086491|Cas12a|NCBI,284.2,cas12n
CP021934|Cas12f|NCBI,895.3,cas8b
CP042267|Cas12f|NCBI,656.6,cas8b
CP003905|Cas12f|NCBI,212.0,cas12f
CP076097|Cas12f|NCBI,441.1,cas3
CP116159|Cas12b|NCBI,541.1,cas3
CP126110|Cas12a|NCBI,180.5,DinG
CP028529|Cas12f|NCBI,657.1,cas8b
CP089934|Cas12f|NCBI,289.5,cas12f
CP091155|Cas12b|NCBI,609.1,cas8
LS483495|Cas12b|NCBI,427.2,cas8
CP024700|Cas12a|NCBI,231.4,cas12n
CP024705|Cas12f|NCBI,823.3,cas8b
CP133831|Cas12a|NCBI,663.7,cas8b
CP035913|Cas12a|NCBI,288.7,cas12f
CP058250|Cas12f|NCBI,212.7,cas12n
CP086471|Cas12a|NCBI,284.2,cas12n
CP028325|Cas12f|NCBI,212.2,cas12f
AP028832|Cas12a|NCBI,610.2,cas8
CP046009|Cas12b|NCBI,609.4,cas8
OU701459|Cas12a|NCBI,202.3,cas12n
CP001291|Cas12f|NCBI,762.5,cas7
BK017243|Cas12f|NCBI,241.0,cas12f
CP028578|Cas12b|NCBI,609.1,cas8
CP091644|Cas12f|NCBI,1049.9,cas9
CP047469|Cas12b|NCBI,479.8,cas8
AP013355|Cas12f|NCBI,212.0,cas12f
CP003591|Cas12f|NCBI,647.0,cas12j
CP072858|Cas12b|NCBI,541.7,cas3
AP026673|Cas12b|NCBI,281.6,cas1
CP061473|Cas12a|NCBI,593.2,cas9
CP075336|Cas12a|NCBI,511.2,cas8b
CP003001|Cas12f|NCBI,561.2,cas8b
CP009277|Cas12f|NCBI,425.7,cas1
CP024785|Cas12a|NCBI,670.6,cas12j
CP009518|Cas12a|NCBI,407.0,cas3
CP082600|Cas12b|NCBI,593.4,cas8
CP029975|Cas12a|NCBI,284.2,cas12n
AP014642|Cas12b|NCBI,923.5,cas12j
LR782231|Cas12b|NCBI,613.4,cas8
CP074206|Cas12f|NCBI,441.1,cas3
AP025232|Cas12a|NCBI,233.5,cas12f
CP086338|Cas12b|NCBI,541.1,cas3
CP104851|Cas12b|NCBI,381.4,cas1
CP128449|Cas12f|NCBI,403.7,cas1
CP002070|Cas12f|NCBI,244.8,cas12n
CP025074|Cas12f|NCBI,467.1,cas1
CP114337|Cas12b|NCBI,541.1,cas3
BK023444|Cas12f|NCBI,231.3,cas12f
AP026503|Cas12b|NCBI,284.4,cas12f
AP028641|Cas12f|NCBI,898.1,cas8b
CP084641|Cas12b|NCBI,266.8,cas12n
CP099464|Cas12f|NCBI,1342.4,cas10d
AP027818|Cas12b|NCBI,282.6,cas12f
CP106849|Cas12a|NCBI,294.0,cas12f
CP092062|Cas12a|NCBI,272.0,cas12n
CP139957|Cas12f|NCBI,524.2,csx1
CP036177|Cas12b|NCBI,541.1,cas3
CP099809|Cas12b|NCBI,266.8,cas12n
CP098724|Cas12b|NCBI,266.8,cas12n
AP018174|Cas12f|NCBI,1369.2,cas10d
CP025281|Cas12f|NCBI,776.3,cas9
CP125039|Cas12b|NCBI,541.7,cas3
AP028848|Cas12a|NCBI,284.2,cas12n
CP085923|Cas12f|NCBI,213.2,cas12f
CP032473|Cas12f|NCBI,212.2,cas12f
CP000117|Cas12a|NCBI,1366.9,cas10d
CP026831|Cas12b|NCBI,613.3,cas8
CP073589|Cas12b|NCBI,611.2,cas8
CP009539|Cas12b|NCBI,266.8,cas12n
CP140504|Cas12b|NCBI,541.1,cas3
AP028854|Cas12a|NCBI,284.2,cas12n
AP018316|Cas12f|NCBI,1355.3,cas10d
CP038860|Cas12f|NCBI,271.3,cas10
CP019961|Cas12b|NCBI,535.7,cas3
CP037821|Cas12f|NCBI,662.8,cas8b
AP028115|Cas12a|NCBI,292.3,cas12f
CP085053|Cas12f|NCBI,441.1,cas3
CP032663|Cas12f|NCBI,1141.5,cas3
CP099813|Cas12b|NCBI,266.8,cas12n
CP074211|Cas12b|NCBI,599.4,cas3
CP026721|Cas12a|NCBI,395.7,cas10
CP003653|Cas12f|NCBI,585.4,cas1
OY771309|Cas12f|NCBI,267.3,cas1
AP028123|Cas12a|NCBI,292.3,cas12f
CP020378|Cas12f|NCBI,666.8,cas8b
CP043334|Cas12b|NCBI,381.4,cas1
CP076098|Cas12f|NCBI,441.1,cas3
CP085717|Cas12f|NCBI,221.3,cas12f
CP002351|Cas12a|NCBI,456.0,cas10
CP009509|Cas12f|NCBI,351.4,cas1
CP063311|Cas12f|NCBI,1203.7,cas10d
CP118396|Cas12f|NCBI,401.2,cas8b
CP003083|Cas12f|NCBI,317.0,cas12u
AP017375|Cas12a|NCBI,720.4,cas12k
CP009510|Cas12f|NCBI,457.5,cas8b
CP037805|Cas12f|NCBI,662.8,cas8b
CP133834|Cas12f|NCBI,659.7,cas8b
BK021901|Cas12a|NCBI,274.2,cas12n
CP007633|Cas12a|NCBI,456.2,cas1
CP043947|Cas12a|NCBI,284.2,cas12n
CP098701|Cas12b|NCBI,266.8,cas12n
CP012321|Cas12f|NCBI,665.3,cas8b
CP092419|Cas12b|NCBI,923.5,cas12j
CP074276|Cas12f|NCBI,416.8,cas3
CP037823|Cas12f|NCBI,115.5,cas12f
CP011484|Cas12f|NCBI,210.5,cas12f
CP057163|Cas12b|NCBI,284.6,cas12f
CP124543|Cas12f|NCBI,1051.0,cas10d
CP032476|Cas12f|NCBI,209.5,cas12f
CP017029|Cas12f|NCBI,1048.6,cas9
CP011482|Cas12f|NCBI,213.0,cas12n
CP035676|Cas12b|NCBI,569.0,cas8
CP086511|Cas12a|NCBI,284.2,cas12n
CP003096|Cas12a|NCBI,441.7,cas1
CP128609|Cas12b|NCBI,282.3,cas12f
OY764061|Cas12a|NCBI,451.0,cas1
AP025621|Cas12f|NCBI,451.9,cas1
CP047242|Cas12a|NCBI,1366.9,cas10d
CP018103|Cas12b|NCBI,609.1,cas8
CP064923|Cas12a|NCBI,460.5,cas12j
CP026681|Cas12f|NCBI,1167.3,cas10d
AP028110|Cas12a|NCBI,292.3,cas12f
CP020559|Cas12f|NCBI,637.9,cas8b
OX639973|Cas12f|NCBI,450.0,cas1
CP097213|Cas12b|NCBI,541.1,cas3
CP030361|Cas12a|NCBI,262.8,cas12f
CP074272|Cas12f|NCBI,441.1,cas3
AP028843|Cas12a|NCBI,284.2,cas12n
CP037799|Cas12f|NCBI,133.8,cas3
CP071094|Cas12f|NCBI,896.6,cas8b
CP026324|Cas12f|NCBI,212.0,cas12f
CP132144|Cas12f|NCBI,666.5,cas8b
CP083877|Cas12b|NCBI,541.1,cas3
CP017025|Cas12a|NCBI,1051.4,cas9
CP130144|Cas12f|NCBI,982.9,cas12j
OY762947|Cas12f|NCBI,284.4,cas12f
CP140466|Cas12b|NCBI,541.1,cas3
AP018180|Cas12f|NCBI,1196.4,cas12k
CP076327|Cas12f|NCBI,441.1,cas3
CP071065|Cas12f|NCBI,1048.4,cas12k
KU516152|Cas12a|NCBI,2192.4,cas12e
CP023834|Cas12b|NCBI,541.1,cas3
HE964772|Cas12a|NCBI,655.9,csx17
CP005586|Cas12f|NCBI,207.7,cas12f
CP064879|Cas12f|NCBI,1205.8,cas10d
CP047197|Cas12f|NCBI,1034.0,cas9
KF705206|Cas12a|NCBI,284.2,cas12n
CP048371|Cas12b|NCBI,541.1,cas3
CP003659|Cas12a|NCBI,1353.3,cas12k
LR890603|Cas12b|NCBI,609.1,cas8
CP094080|Cas12f|NCBI,210.7,cas12n
FN668943|Cas12f|NCBI,190.9,cas12n
CP032474|Cas12f|NCBI,212.2,cas12f
CP129105|Cas12f|NCBI,208.2,cas12n
BK050961|Cas12f|NCBI,235.1,cas12f
CP034952|Cas12f|NCBI,618.3,cas9
CP012036|Cas12a|NCBI,1162.8,cas12k
CP000679|Cas12f|NCBI,610.2,cas8b
CP054232|Cas12b|NCBI,285.4,cas12f
CP042893|Cas12b|NCBI,543.6,cas3
OY754364|Cas12b|NCBI,610.6,cas8
AP028842|Cas12a|NCBI,610.2,cas8
BK017448|Cas12f|NCBI,238.4,cas12f
CP115913|Cas12f|NCBI,231.8,cas12f
CP094173|Cas12f|NCBI,212.7,cas12n
CP074263|Cas12b|NCBI,593.4,cas8
CP043228|Cas12a|NCBI,284.2,cas12n
CP116619|Cas12f|NCBI,999.5,cas12k
CP027015|Cas12f|NCBI,115.5,cas12f
CP017236|Cas12f|NCBI,266.8,cas12n
KF290378|Cas12a|NCBI,283.0,cas12n
CP000828|Cas12a|NCBI,136.4,cas12j
CP003548|Cas12a|NCBI,1401.8,cas10d
CP098984|Cas12b|NCBI,284.6,cas12f
CP005492|Cas12a|NCBI,215.7,cas12n
CP130447|Cas12b|NCBI,541.1,cas3
CP030357|Cas12a|NCBI,265.0,cas12f
AP028636|Cas12f|NCBI,898.1,cas8b
CP128453|Cas12a|NCBI,622.2,cas9
CP024699|Cas12a|NCBI,556.5,cas8b
AP026769|Cas12f|NCBI,209.8,cas12n
CP083880|Cas12b|NCBI,541.1,cas3
CP090456|Cas12b|NCBI,610.6,cas8
CP096115|Cas12f|NCBI,593.5,csx17
CP071092|Cas12f|NCBI,686.3,cas10
LN681231|Cas12b|NCBI,267.1,cas12n
CP032475|Cas12f|NCBI,209.5,cas12f
CP010160|Cas12b|NCBI,610.6,cas8
CP011832|Cas12f|NCBI,491.5,cas1
CP133440|Cas12b|NCBI,266.8,cas12n
CP132148|Cas12f|NCBI,115.5,cas12f
CP074354|Cas12b|NCBI,299.0,cas12f
AP018268|Cas12f|NCBI,1351.8,cas10d
CP044293|Cas12b|NCBI,535.7,cas3
CP069692|Cas12b|NCBI,617.7,cas8
CP063979|Cas12b|NCBI,285.0,cas12f
LT549891|Cas12f|NCBI,294.5,cas1
CP038233|Cas12f|NCBI,606.7,cas8
CP006254|Cas12f|NCBI,608.9,cas9
CP085947|Cas12f|NCBI,209.7,cas12n
CP025047|Cas12f|NCBI,666.5,cas8b
CP057473|Cas12f|NCBI,577.1,cas3
LR756508|Cas12f|NCBI,248.2,cas12f
